Polynomial order,Training RMSE,Training R^2,Training time,Testing RMSE,Testing R^2
Order 1,0.1362809896554837,0.7071371663486994,0.09778356552124023,0.1364692410059549,0.706251551426672
Order 2,0.10987985511720606,0.8096162578538808,0.11599969863891602,0.10962388346128776,0.8104532268849223
Order 3,0.0939687924635328,0.8607609681748805,0.26599955558776855,0.09381145600807388,0.8611909498949454
Order 4,0.0821930768836394,0.8934719003467627,0.41750025749206543,0.08196348173077202,0.8940388101685041
