Polynomial order,Training RMSE,Training R^2,Training time,Testing RMSE,Testing R^2
Order 1,0.17168626907628057,0.5352013811587073,0.0345001220703125,0.1723073210774642,0.531711502984166
Order 2,0.11946539713070552,0.7749505452725808,0.07599949836730957,0.11936698488308739,0.7752630526919467
Order 3,0.09781490455764455,0.8491296931049048,0.18049979209899902,0.09774071295087675,0.8493195063279675
Order 4,0.08517000561179168,0.885615532564183,0.4200003147125244,0.08506072634038428,0.8858793588379384
